entity,type
Marianne Forster,PER
Marie Rambert,PER
Mariette von Meyenburg,PER
Mariinski,ORG
Mariinski Ballett,ORG
Mariinski-Ballett,ORG
Mariinski-Palais,LOC
Mariinsky,MISC
Mariinsky II,MISC
Mariinsky-Ballett,LOC
Mario Botta,PER
Mario Volkart,PER
Marius Petipa,PER
Marlies Strech,PER
Marschmusik,STYL
Martha Graham,PER
Martin Schläpfer,PER
Martin Schläpfers,PER
Martine Parmain,PER
Mary Wigman,PER
Mary-Wigman-Schule,LOC
Masuren,LOC
Materialsammlung,PROC
Mats Ek,PER
Mats Eks,PER
Matt [Anm,PER
Matthäus-Passion,MISC
Maurice Béjart,PER
Max Pfister-Terpis,PER
Maya Kübler,PER
Mediathek Tanz,ORG
Mein Bruder,PER
Mein Freund,MISC
Mein Grossvater,PER
Mein Mann,PER
Mein Sohn,PER
Meine Brüder,PER
Meine Gotte,MISC
Meister,ORG
Meisterwerk,DANC
Mendelsohn,PER
Menstruation,BODY
Menuett,STYL
Merce Cunningham,PER
Methoden,PROC
Mexiko,LOC
Mhm,MISC
Mich,PER
Mich fasziniert wirklich,MISC
Michel de Lutry,MISC
Mikhail Baryshnikov,PER
Miklos,PER
Miklos Bognar,PER
Militär,ORG
Millicent Hodson,LOC;PER
Mimos,PER
Minimal,STYL
Minkus,ORG;PER
Mirja Tervamaa,PER
Missionsspital,LOC
Mittel,DANC
Mittelfinger,LOC;MISC
Mittelmeergebiete,LOC
Mittelpunkt,MOV
Mittelschul-Filmclub,MISC
Mitternachtssonne,LOC
Mlakar,PER
Mmh,LOC;PER
Modern-Tanztraining,MISC
Mohr,PER
Moll,LOC
Mondlandung,MISC
Monte Verità,LOC
Monte Veritá,PER
Moskau,LOC
Mozart,PER
Mozart-Klavierkonzert,MISC
Mozart-Requiem,LOC
Mthatha,LOC
Mulhouse,LOC
Museum,DANC
Museum Zürich,LOC
Museum für Gestaltung,LOC
Musical,STYL
Musik,STYL
Musiktheater,STYL
Musiktheatern,ORG
Myrtha,PER
Männersolo,DANC
Märchenhafte,MISC
Mäuserich,PER
München,LOC
NACHHER,ORG
NATÜRLICH,MISC
NICHT,MISC;ORG
NIE,ORG
NONAM,ORG
NUR,ORG
